,edit_count,sentiment,neg_sentiment
2012-01-11,1.7333333333333334,-0.24648749325010513,0.46888888888888886
2012-01-12,1.7666666666666666,-0.22446696155601079,0.4522222222222222
2012-01-13,1.7666666666666666,-0.22446696155601079,0.4522222222222222
2012-01-14,1.8,-0.2533714184496138,0.46888888888888886
2012-01-15,1.8,-0.2533714184496138,0.46888888888888886
2012-01-16,1.9666666666666666,-0.2536652274831893,0.4712698412698412
2012-01-17,2.1333333333333333,-0.24490642212213035,0.462936507936508
2012-01-18,2.1333333333333333,-0.24490642212213035,0.462936507936508
2012-01-19,2.1333333333333333,-0.22549731329793024,0.45182539682539685
2012-01-20,1.9666666666666666,-0.2057251417211124,0.42515873015873024
2012-01-21,1.9666666666666666,-0.20878220534040814,0.42515873015873024
2012-01-22,1.9666666666666666,-0.20841565664325443,0.42515873015873024
2012-01-23,1.9333333333333333,-0.2401449276577859,0.42515873015873024
2012-01-24,2.1,-0.2396545297806225,0.42515873015873024
2012-01-25,2.0,-0.22872964675937382,0.402936507936508
2012-01-26,2.066666666666667,-0.22856671944970178,0.41960317460317464
2012-01-27,2.033333333333333,-0.19535267090513594,0.38626984126984126
2012-01-28,2.066666666666667,-0.16282448009366082,0.3696031746031746
2012-01-29,2.066666666666667,-0.16282448009366082,0.3696031746031746
2012-01-30,2.0,-0.1629266891451109,0.35293650793650794
2012-01-31,1.9666666666666666,-0.1296373976838021,0.3196031746031746
2012-02-01,2.066666666666667,-0.16146570777609234,0.35293650793650794
2012-02-02,2.0,-0.13437952236050651,0.3196031746031746
2012-02-03,2.0,-0.133589187619232,0.3196031746031746
2012-02-04,1.9,-0.13783106607577159,0.30849206349206354
2012-02-05,1.9333333333333333,-0.17108047010879668,0.34182539682539687
2012-02-06,1.9333333333333333,-0.17108047010879668,0.34182539682539687
2012-02-07,1.9333333333333333,-0.16718852124989977,0.34182539682539687
2012-02-08,1.8,-0.12231740477066193,0.3151587301587302
2012-02-09,1.5333333333333334,-0.1356114417551056,0.32182539682539685
2012-02-10,1.5333333333333334,-0.1356114417551056,0.32182539682539685
2012-02-11,1.5333333333333334,-0.1644583493707672,0.3384920634920635
2012-02-12,1.6,-0.16445791227003884,0.3551587301587302
2012-02-13,1.6666666666666667,-0.16067106179774754,0.3551587301587302
2012-02-14,1.7333333333333334,-0.16480736486495487,0.37182539682539684
2012-02-15,1.5,-0.1603266802099016,0.35277777777777775
2012-02-16,1.3,-0.14837722695536082,0.3444444444444444
2012-02-17,1.3333333333333333,-0.18124655998415415,0.3777777777777777
2012-02-18,1.3666666666666667,-0.21626397801770106,0.4
2012-02-19,1.5666666666666667,-0.22770056625207266,0.4222222222222222
2012-02-20,1.6,-0.20217227670881485,0.40555555555555556
2012-02-21,1.6666666666666667,-0.1829576869805654,0.3944444444444445
2012-02-22,1.6666666666666667,-0.1829576869805654,0.39444444444444443
2012-02-23,1.5333333333333334,-0.14842916395929123,0.3777777777777777
2012-02-24,1.5666666666666667,-0.1815600918398963,0.4111111111111111
2012-02-25,1.5333333333333334,-0.20812900529967412,0.42777777777777776
2012-02-26,1.5333333333333334,-0.20812900529967412,0.42777777777777776
2012-02-27,1.4666666666666666,-0.2073439018593894,0.4111111111111111
2012-02-28,1.5333333333333334,-0.17920856244034236,0.4111111111111111
2012-02-29,1.6,-0.21248429980542924,0.4444444444444444
2012-03-01,1.6333333333333333,-0.18779340154594845,0.4444444444444444
2012-03-02,1.5333333333333334,-0.1559650914536582,0.4111111111111111
2012-03-03,1.9666666666666666,-0.16683005015564778,0.4341880341880342
2012-03-04,1.9333333333333333,-0.1615380815715871,0.4341880341880342
2012-03-05,2.033333333333333,-0.15140740130192193,0.44529914529914527
2012-03-06,2.0,-0.11815799726889684,0.41196581196581195
2012-03-07,2.0,-0.11815799726889684,0.41196581196581195
2012-03-08,2.0,-0.14954420083608383,0.4286324786324786
2012-03-09,2.1,-0.14341206802771642,0.4286324786324786
2012-03-10,2.033333333333333,-0.11039375914977147,0.3952991452991453
2012-03-11,2.066666666666667,-0.07797345373875056,0.3952991452991453
2012-03-12,2.3,-0.051129970710162086,0.38048433048433045
2012-03-13,2.2333333333333334,-0.051130407810890434,0.36381766381766384
2012-03-14,2.1,-0.05095017280249174,0.3471509971509972
2012-03-15,2.033333333333333,-0.04681386973528441,0.3304843304843305
2012-03-16,2.1,-0.04694099352825062,0.3471509971509972
2012-03-17,2.066666666666667,-0.008815847099506616,0.3304843304843305
2012-03-18,2.1333333333333333,0.03495601058600635,0.3082621082621083
2012-03-19,2.1,0.07801103417010728,0.286039886039886
2012-03-20,1.9333333333333333,0.12271856358248284,0.2638176638176638
2012-03-21,1.8666666666666667,0.13005146606695278,0.2638176638176638
2012-03-22,1.8,0.11728590220807285,0.2749287749287749
2012-03-23,2.0,0.10434620801539843,0.2971509971509972
2012-03-24,1.9333333333333333,0.10251865808101121,0.28048433048433047
2012-03-25,1.9,0.13564958596161628,0.24715099715099717
2012-03-26,1.8666666666666667,0.16205557211172206,0.21381766381766382
2012-03-27,1.8666666666666667,0.16205557211172206,0.21381766381766382
2012-03-28,1.8666666666666667,0.16205557211172206,0.21381766381766382
2012-03-29,1.8333333333333333,0.16562446578275783,0.21381766381766382
2012-03-30,1.7666666666666666,0.1989002031478447,0.1804843304843305
2012-03-31,1.7333333333333334,0.1742093048883639,0.1804843304843305
2012-04-01,1.8666666666666667,0.15556074802012862,0.20548433048433049
2012-04-02,1.5666666666666667,0.1797621252912062,0.19074074074074074
2012-04-03,1.6333333333333333,0.17722932194118143,0.19074074074074074
2012-04-04,1.5333333333333334,0.16709864167151625,0.17962962962962964
2012-04-05,1.7333333333333334,0.13471222878606232,0.21296296296296297
2012-04-06,1.9333333333333333,0.1331507788212211,0.22962962962962966
2012-04-07,1.9,0.13119544050207843,0.22962962962962966
2012-04-08,2.0,0.08788360119969756,0.2534391534391534
2012-04-09,2.1,0.0753272145434662,0.27566137566137566
2012-04-10,2.1333333333333333,0.0694917121971095,0.27566137566137566
2012-04-11,1.8333333333333333,0.0758805912401941,0.2571428571428572
2012-04-12,1.8333333333333333,0.0758805912401941,0.2571428571428571
2012-04-13,2.1,0.06686236874924764,0.27797619047619043
2012-04-14,2.1,0.06686236874924764,0.27797619047619043
2012-04-15,2.066666666666667,0.0336641800072458,0.2946428571428571
2012-04-16,2.033333333333333,0.0004785330759154401,0.2946428571428571
2012-04-17,2.0,-0.04021693915128708,0.3168650793650794
2012-04-18,1.9333333333333333,-0.025112936728530464,0.3057539682539682
2012-04-19,1.9,-0.05838387790653441,0.3057539682539682
2012-04-20,1.9,-0.12332752131753498,0.3390873015873016
2012-04-21,1.8666666666666667,-0.0969215351674292,0.3057539682539682
2012-04-22,1.6666666666666667,-0.08398184097475477,0.283531746031746
2012-04-23,1.8,-0.10255473521020678,0.30853174603174605
2012-04-24,1.8333333333333333,-0.13586983150906035,0.34186507936507937
2012-04-25,1.8333333333333333,-0.13586983150906035,0.34186507936507937
2012-04-26,1.8333333333333333,-0.13586983150906035,0.34186507936507937
2012-04-27,1.8333333333333333,-0.13586983150906035,0.34186507936507937
2012-04-28,1.8,-0.16757406459914315,0.34186507936507937
2012-04-29,1.8,-0.16757406459914315,0.34186507936507937
2012-04-30,1.8333333333333333,-0.14470311668184072,0.34186507936507937
2012-05-01,1.7,-0.12605455981360542,0.3168650793650794
2012-05-02,1.6666666666666667,-0.1726085157858001,0.34186507936507937
2012-05-03,1.6,-0.2273860373430782,0.3751984126984127
2012-05-04,1.6666666666666667,-0.23349123977952535,0.39186507936507936
2012-05-05,1.4666666666666666,-0.2011048268940714,0.35853174603174603
2012-05-06,1.3,-0.1786471626824803,0.34186507936507937
2012-05-07,1.3666666666666667,-0.13738748381535215,0.3196428571428572
2012-05-08,1.1333333333333333,-0.12514514873425167,0.29583333333333334
2012-05-09,1.0333333333333334,-0.11258876207802031,0.27361111111111114
2012-05-10,0.9666666666666667,-0.13917356514268453,0.27361111111111114
2012-05-11,0.9666666666666667,-0.13917356514268453,0.27361111111111114
2012-05-12,1.0666666666666667,-0.13001409355137084,0.2847222222222222
2012-05-13,0.8,-0.12099587106042439,0.2638888888888889
2012-05-14,0.8,-0.12099587106042439,0.2638888888888889
2012-05-15,0.9333333333333333,-0.09488755408260559,0.25055555555555553
2012-05-16,0.9666666666666667,-0.12818456831905578,0.28388888888888886
2012-05-17,1.0,-0.11080470194419224,0.2727777777777778
2012-05-18,1.0,-0.10870034803946813,0.2727777777777778
2012-05-19,1.0,-0.10870034803946813,0.2727777777777778
2012-05-20,0.9666666666666667,-0.07667047689358393,0.23944444444444446
2012-05-21,1.0,-0.10994491686423619,0.2727777777777778
2012-05-22,1.0333333333333334,-0.14134283771117528,0.3061111111111111
2012-05-23,0.9333333333333333,-0.10187372922897338,0.28111111111111114
2012-05-24,0.9,-0.06855863293011982,0.2477777777777778
2012-05-25,1.0333333333333334,-0.05650831818580627,0.2561111111111111
2012-05-26,1.1333333333333333,-0.030800616343816124,0.2561111111111111
2012-05-27,1.1333333333333333,-0.030800616343816124,0.2561111111111111
2012-05-28,1.2,-0.033839570085207625,0.2727777777777778
2012-05-29,1.2,-0.033839570085207625,0.2727777777777778
2012-05-30,1.2333333333333334,-0.08876327137152354,0.3061111111111111
2012-05-31,1.2333333333333334,-0.08876327137152354,0.3061111111111111
2012-06-01,1.2333333333333334,-0.05002728627787696,0.28388888888888886
2012-06-02,1.2333333333333334,0.007379413379563223,0.25055555555555553
2012-06-03,1.2,-0.019478910432921517,0.2672222222222222
2012-06-04,1.2666666666666666,-0.052746120360162525,0.3005555555555555
2012-06-05,1.4,-0.054865787492858045,0.30722222222222223
2012-06-06,1.3,-0.06280379169517093,0.2961111111111111
2012-06-07,1.3,-0.06280379169517093,0.2961111111111111
2012-06-08,1.3333333333333333,-0.03786642028225793,0.2961111111111111
2012-06-09,1.4333333333333333,-0.049661035736401876,0.3183333333333333
2012-06-10,1.5666666666666667,-0.08293630023797353,0.3516666666666666
2012-06-11,1.5,-0.12528055250644685,0.3738888888888889
2012-06-12,1.5,-0.12528055250644685,0.3738888888888889
2012-06-13,1.5666666666666667,-0.12642010688781738,0.39055555555555554
2012-06-14,1.4333333333333333,-0.14969941457112632,0.4038888888888889
2012-06-15,1.5,-0.12736391372150846,0.39277777777777784
2012-06-16,1.4,-0.11495083252588907,0.3705555555555556
2012-06-17,1.3666666666666667,-0.14795952518781028,0.3705555555555556
2012-06-18,1.3666666666666667,-0.14795952518781028,0.3705555555555556
2012-06-19,1.3666666666666667,-0.14795952518781028,0.3705555555555556
2012-06-20,1.3333333333333333,-0.114685085217158,0.33722222222222226
2012-06-21,1.3333333333333333,-0.05834979295730592,0.30388888888888893
2012-06-22,1.3333333333333333,-0.054292834599812836,0.30388888888888893
2012-06-23,1.3333333333333333,-0.05429283459981283,0.30388888888888893
2012-06-24,1.2333333333333334,-0.09959466735521953,0.3288888888888889
